epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,149.298,1.69114,2.48886,1.54158,0.29249,0.29926,0.21154,0.11515,1.9595,2.48386,1.54413,0.000332685,0.000332685,0.000332685
2,277.708,1.63433,2.02043,1.47964,0.37127,0.37221,0.31328,0.17661,1.87398,2.18749,1.49116,0.00065403,0.00065403,0.00065403
3,405.219,1.60704,1.94255,1.47165,0.38305,0.40193,0.34267,0.1841,1.7775,2.23089,1.44693,0.000963375,0.000963375,0.000963375
4,532.626,1.54394,1.83345,1.43021,0.42452,0.46128,0.3953,0.22421,1.76395,2.19829,1.4332,0.000946,0.000946,0.000946
5,659.49,1.49923,1.75562,1.39574,0.50832,0.41332,0.41471,0.23534,1.71811,1.99208,1.39491,0.000928,0.000928,0.000928
6,786.13,1.45442,1.66054,1.36374,0.47891,0.44486,0.43612,0.25871,1.66789,1.80029,1.34989,0.00091,0.00091,0.00091
7,912.728,1.42713,1.61955,1.35629,0.51756,0.4945,0.48366,0.29269,1.65758,1.71363,1.3279,0.000892,0.000892,0.000892
8,1040.02,1.40696,1.57375,1.34116,0.53277,0.488,0.47561,0.28851,1.60009,1.71082,1.31705,0.000874,0.000874,0.000874
9,1166.64,1.36257,1.5265,1.31055,0.50095,0.49519,0.47595,0.29768,1.59787,1.65783,1.28634,0.000856,0.000856,0.000856
10,1293.6,1.35938,1.49015,1.30844,0.53643,0.55965,0.53008,0.31954,1.49209,1.58788,1.26081,0.000838,0.000838,0.000838
11,1420.38,1.3285,1.44393,1.29067,0.5941,0.55072,0.5599,0.34909,1.51164,1.50367,1.24346,0.00082,0.00082,0.00082
12,1547.66,1.32182,1.42381,1.28204,0.5539,0.56628,0.55336,0.33642,1.49363,1.51515,1.24332,0.000802,0.000802,0.000802
13,1674.58,1.29763,1.37555,1.26315,0.57317,0.58331,0.56826,0.35071,1.53857,1.54953,1.24468,0.000784,0.000784,0.000784
14,1801.46,1.28683,1.37154,1.265,0.60878,0.57634,0.57881,0.35901,1.46181,1.4532,1.21765,0.000766,0.000766,0.000766
15,1927.91,1.26631,1.33206,1.2524,0.57934,0.59225,0.5833,0.36093,1.46229,1.49201,1.22223,0.000748,0.000748,0.000748
16,2054.71,1.23879,1.2904,1.23307,0.61804,0.58682,0.5871,0.3726,1.4505,1.41352,1.20546,0.00073,0.00073,0.00073
17,2181.39,1.2423,1.27888,1.23295,0.60244,0.61801,0.61542,0.39204,1.41911,1.37137,1.19616,0.000712,0.000712,0.000712
