epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,322.844,1.86125,2.68067,1.70634,0.2567,0.33191,0.27366,0.15786,1.89163,2.4898,1.58345,0.000333171,0.000333171,0.000333171
2,613.252,1.83676,2.43023,1.70905,0.31604,0.38037,0.29033,0.16683,1.86002,2.40806,1.56984,0.00064451,0.00064451,0.00064451
3,900.097,1.75049,2.27357,1.6599,0.41858,0.38967,0.3278,0.19466,1.82674,2.2489,1.56526,0.000933848,0.000933848,0.000933848
4,1185.25,1.69848,2.1788,1.61249,0.39636,0.4008,0.33325,0.19932,1.73947,2.3544,1.4828,0.000901,0.000901,0.000901
5,1474.52,1.61569,2.01799,1.55387,0.41895,0.44236,0.37746,0.22758,1.71228,2.05521,1.45525,0.000868,0.000868,0.000868
6,1767.28,1.55948,1.9373,1.5082,0.41418,0.47496,0.41819,0.25191,1.69067,1.90426,1.41869,0.000835,0.000835,0.000835
7,2054.28,1.51609,1.85847,1.48805,0.51974,0.46808,0.44233,0.2736,1.61046,1.76394,1.37418,0.000802,0.000802,0.000802
8,2346.63,1.48507,1.79103,1.46593,0.50504,0.48773,0.45163,0.28,1.62141,1.74643,1.35738,0.000769,0.000769,0.000769
9,2648.83,1.46136,1.74311,1.44218,0.50175,0.49277,0.4602,0.28959,1.60857,1.75075,1.35968,0.000736,0.000736,0.000736
10,2971.23,1.42107,1.67763,1.4193,0.53606,0.5254,0.51228,0.31005,1.54513,1.68606,1.3213,0.000703,0.000703,0.000703
11,3292.22,1.40001,1.63638,1.40016,0.53002,0.53949,0.52562,0.32992,1.48622,1.67147,1.29058,0.00067,0.00067,0.00067
12,3580.8,1.38437,1.58844,1.38887,0.56227,0.52142,0.50834,0.32409,1.49213,1.6285,1.27466,0.000637,0.000637,0.000637
13,3871.99,1.34943,1.52826,1.3648,0.56247,0.52507,0.52667,0.32969,1.51791,1.59833,1.28165,0.000604,0.000604,0.000604
14,4158.94,1.32372,1.50496,1.35244,0.55799,0.57463,0.55787,0.35337,1.46692,1.5729,1.26769,0.000571,0.000571,0.000571
15,4480.9,1.3212,1.49186,1.34861,0.59893,0.57394,0.5738,0.35861,1.43785,1.48342,1.24168,0.000538,0.000538,0.000538
16,4773.8,1.29958,1.43769,1.33733,0.59558,0.5744,0.56867,0.35747,1.44787,1.52914,1.23662,0.000505,0.000505,0.000505
17,5061.49,1.27304,1.39965,1.32213,0.61341,0.58445,0.58088,0.37417,1.42855,1.46693,1.25226,0.000472,0.000472,0.000472
18,5352.71,1.24666,1.36961,1.29967,0.6156,0.60568,0.60321,0.3815,1.40034,1.41094,1.22503,0.000439,0.000439,0.000439
19,5646.99,1.24749,1.35132,1.30077,0.57666,0.62572,0.61184,0.39072,1.38281,1.40392,1.21098,0.000406,0.000406,0.000406
20,5940.71,1.22049,1.31403,1.28266,0.6293,0.61526,0.62296,0.39709,1.37723,1.37142,1.19496,0.000373,0.000373,0.000373
21,6232.28,1.23602,1.30857,1.31664,0.61909,0.62026,0.62094,0.3948,1.36609,1.37563,1.20929,0.00034,0.00034,0.00034
22,6527.8,1.19901,1.24961,1.28847,0.63792,0.63247,0.64448,0.41311,1.34327,1.34043,1.18979,0.000307,0.000307,0.000307
23,6817.11,1.1704,1.20713,1.2711,0.61036,0.64854,0.64657,0.4144,1.31556,1.31515,1.18461,0.000274,0.000274,0.000274
24,7107.41,1.13981,1.16229,1.24621,0.62799,0.64976,0.65038,0.42335,1.3173,1.31243,1.17856,0.000241,0.000241,0.000241
25,7398.65,1.11826,1.11755,1.23106,0.69289,0.6587,0.68055,0.44376,1.28272,1.25344,1.14886,0.000208,0.000208,0.000208
26,7690.34,1.08915,1.09002,1.21476,0.69779,0.66356,0.67773,0.44299,1.26708,1.22963,1.14975,0.000175,0.000175,0.000175
27,7979.39,1.0759,1.04745,1.20051,0.68956,0.67572,0.68784,0.45005,1.26399,1.18501,1.14091,0.000142,0.000142,0.000142
28,8268.26,1.06099,1.02788,1.19561,0.70376,0.6739,0.69668,0.45764,1.24729,1.18364,1.1289,0.000109,0.000109,0.000109
29,8557.45,1.03912,0.99272,1.17633,0.70735,0.6747,0.69398,0.45791,1.246,1.17967,1.13283,7.6e-05,7.6e-05,7.6e-05
30,8847.3,1.01851,0.97054,1.165,0.71188,0.68116,0.70436,0.46768,1.22774,1.15707,1.1195,4.3e-05,4.3e-05,4.3e-05
