epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,322.961,1.86125,2.68067,1.70634,0.2567,0.33191,0.27366,0.15786,1.89163,2.4898,1.58345,0.000333171,0.000333171,0.000333171
2,619.199,1.84166,2.44161,1.72371,0.51758,0.28571,0.3,0.18046,1.85937,2.35061,1.57678,0.000653308,0.000653308,0.000653308
3,916.273,1.74473,2.28146,1.66129,0.36633,0.36622,0.30606,0.17946,1.81342,2.22878,1.56041,0.000960244,0.000960244,0.000960244
4,1209.45,1.69769,2.17155,1.61572,0.39499,0.42498,0.36334,0.22144,1.77244,2.11911,1.50934,0.0009406,0.0009406,0.0009406
5,1501.18,1.62404,2.04403,1.5636,0.3691,0.40875,0.37015,0.22548,1.76549,2.12148,1.49651,0.0009208,0.0009208,0.0009208
6,1792.87,1.57705,1.95884,1.5305,0.49439,0.44424,0.4168,0.25568,1.65217,1.84973,1.4281,0.000901,0.000901,0.000901
7,2084.95,1.53594,1.89491,1.50578,0.51493,0.4662,0.43702,0.26793,1.64308,1.80443,1.40625,0.0008812,0.0008812,0.0008812
8,2376.97,1.50446,1.84141,1.48087,0.48077,0.47473,0.43964,0.26923,1.62788,1.85503,1.40032,0.0008614,0.0008614,0.0008614
9,2669.93,1.48877,1.79328,1.4616,0.49552,0.51039,0.48273,0.29849,1.55385,1.75574,1.35846,0.0008416,0.0008416,0.0008416
10,2961.07,1.43967,1.71981,1.43693,0.52993,0.51299,0.50096,0.30809,1.55377,1.70512,1.34158,0.0008218,0.0008218,0.0008218
11,3255.24,1.42877,1.67552,1.41981,0.54042,0.52342,0.51497,0.32543,1.4883,1.64573,1.29085,0.000802,0.000802,0.000802
12,3550.79,1.40427,1.64467,1.4067,0.522,0.54339,0.51815,0.31927,1.49861,1.62103,1.30174,0.0007822,0.0007822,0.0007822
13,3841.68,1.37773,1.59094,1.38135,0.55788,0.52917,0.52221,0.31911,1.5269,1.68808,1.29629,0.0007624,0.0007624,0.0007624
14,4132.04,1.36302,1.5712,1.37698,0.57469,0.55261,0.55751,0.34354,1.4691,1.57298,1.28851,0.0007426,0.0007426,0.0007426
15,4428.18,1.35602,1.56143,1.36975,0.59649,0.54878,0.55973,0.35472,1.45493,1.53072,1.27425,0.0007228,0.0007228,0.0007228
16,4720.73,1.34174,1.51258,1.36279,0.59195,0.56074,0.56551,0.33855,1.48796,1.53909,1.27714,0.000703,0.000703,0.000703
