epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,159.434,1.69114,2.48886,1.54158,0.29249,0.29926,0.21172,0.11516,1.96241,2.48634,1.54549,0.000332685,0.000332685,0.000332685
2,288.165,1.63147,2.00716,1.48705,0.31916,0.35684,0.28472,0.15708,1.84277,2.21681,1.51265,0.00064404,0.00064404,0.00064404
3,415.365,1.60282,1.93298,1.4726,0.45791,0.4292,0.39585,0.22995,1.77328,2.21713,1.44727,0.000933394,0.000933394,0.000933394
4,541.965,1.53491,1.81426,1.42897,0.44567,0.44052,0.40287,0.23397,1.72938,2.07524,1.42379,0.000901,0.000901,0.000901
5,669.866,1.49302,1.7544,1.4032,0.48697,0.42733,0.40582,0.23877,1.74566,1.96285,1.40416,0.000868,0.000868,0.000868
6,799.483,1.4457,1.6447,1.36341,0.50644,0.5066,0.4783,0.30115,1.61957,1.71537,1.33476,0.000835,0.000835,0.000835
7,927.967,1.41283,1.5947,1.34974,0.51725,0.49675,0.4751,0.28471,1.59483,1.77804,1.32546,0.000802,0.000802,0.000802
8,1058.29,1.38458,1.53047,1.32989,0.5309,0.53414,0.50184,0.31196,1.54618,1.62446,1.30164,0.000769,0.000769,0.000769
9,1188.17,1.3456,1.48931,1.30353,0.56566,0.53097,0.51448,0.3181,1.57808,1.57225,1.27326,0.000736,0.000736,0.000736
10,1318.67,1.33294,1.43947,1.29457,0.59941,0.55849,0.5531,0.33076,1.54175,1.5462,1.28158,0.000703,0.000703,0.000703
11,1450.05,1.30833,1.40952,1.28046,0.63808,0.56243,0.58361,0.36215,1.48428,1.45584,1.2353,0.00067,0.00067,0.00067
12,1580.73,1.28942,1.37313,1.2661,0.59692,0.59507,0.58821,0.37386,1.45182,1.44959,1.22399,0.000637,0.000637,0.000637
13,1711.3,1.27533,1.33704,1.25326,0.60071,0.57169,0.57995,0.36328,1.47076,1.46446,1.22433,0.000604,0.000604,0.000604
14,1839.98,1.26151,1.32322,1.24917,0.61286,0.60219,0.60501,0.3753,1.4313,1.40921,1.21534,0.000571,0.000571,0.000571
15,1968.88,1.23169,1.27173,1.23289,0.6462,0.58348,0.60264,0.3819,1.44457,1.46405,1.1952,0.000538,0.000538,0.000538
16,2097.21,1.21501,1.24284,1.22301,0.61814,0.59251,0.60663,0.38363,1.45361,1.35248,1.19048,0.000505,0.000505,0.000505
17,2225.24,1.20672,1.22287,1.21575,0.66871,0.60513,0.63407,0.40411,1.39649,1.32271,1.19254,0.000472,0.000472,0.000472
18,2354.07,1.18953,1.19228,1.20582,0.63285,0.63067,0.64421,0.41487,1.36434,1.2959,1.16161,0.000439,0.000439,0.000439
19,2483.13,1.16788,1.1634,1.18996,0.61539,0.637,0.65003,0.4163,1.38481,1.31354,1.17983,0.000406,0.000406,0.000406
20,2612.79,1.16229,1.14266,1.18693,0.64656,0.6448,0.65684,0.42621,1.36174,1.26617,1.16036,0.000373,0.000373,0.000373
21,2739.92,1.13926,1.10436,1.17466,0.67556,0.66136,0.67263,0.4318,1.34174,1.24911,1.15597,0.00034,0.00034,0.00034
22,2864.69,1.11158,1.0597,1.15824,0.71497,0.63644,0.67544,0.43435,1.3248,1.2361,1.13569,0.000307,0.000307,0.000307
23,2990.1,1.08395,1.01125,1.13488,0.68753,0.6629,0.68813,0.45093,1.29782,1.20443,1.12775,0.000274,0.000274,0.000274
24,3115.69,1.05605,0.96635,1.12123,0.71487,0.64342,0.69253,0.45374,1.29442,1.18925,1.13128,0.000241,0.000241,0.000241
25,3241.69,1.03379,0.93368,1.10969,0.7416,0.65089,0.70246,0.4626,1.27251,1.1653,1.11122,0.000208,0.000208,0.000208
26,3366.67,1.00783,0.89817,1.09065,0.71319,0.67227,0.71027,0.46924,1.2592,1.13405,1.11668,0.000175,0.000175,0.000175
27,3493.67,0.98679,0.86531,1.07974,0.72813,0.67063,0.71691,0.47608,1.25239,1.12312,1.10022,0.000142,0.000142,0.000142
28,3620.89,0.9689,0.83833,1.06395,0.72126,0.68678,0.72717,0.4831,1.2487,1.10735,1.1026,0.000109,0.000109,0.000109
29,3757.96,0.95107,0.81912,1.05984,0.74241,0.67448,0.726,0.48366,1.24081,1.10465,1.09689,7.6e-05,7.6e-05,7.6e-05
30,3889.47,0.93474,0.79665,1.04874,0.74353,0.6793,0.73083,0.48936,1.23373,1.08262,1.09194,4.3e-05,4.3e-05,4.3e-05
